id,fen,engine,move,score,wins,draws,losses,depth,seldepth,nodes,time,hashfull
896,bbrkqrnn/pppppppp/8/8/8/8/PPPPPPPP/BBRKQRNN w KQkq - 0 1,Stockfish 17.1,b2b4,29,74,916,10,10,18,101186,0.019,8
897,brkbqrnn/pppppppp/8/8/8/8/PPPPPPPP/BRKBQRNN w KQkq - 0 1,Stockfish 17.1,b2b4,48,135,860,5,11,16,101028,0.018,11
898,brkqrbnn/pppppppp/8/8/8/8/PPPPPPPP/BRKQRBNN w KQkq - 0 1,Stockfish 17.1,f2f4,40,107,886,7,12,16,100581,0.017,14
899,brkqrnnb/pppppppp/8/8/8/8/PPPPPPPP/BRKQRNNB w KQkq - 0 1,Stockfish 17.1,b2b4,38,99,894,7,10,19,101142,0.019,11
900,rbbkqrnn/pppppppp/8/8/8/8/PPPPPPPP/RBBKQRNN w KQkq - 0 1,Stockfish 17.1,c2c4,32,83,908,9,11,20,100656,0.018,12
901,rkbbqrnn/pppppppp/8/8/8/8/PPPPPPPP/RKBBQRNN w KQkq - 0 1,Stockfish 17.1,e2e4,46,129,866,5,13,16,101834,0.018,14
902,rkbqrbnn/pppppppp/8/8/8/8/PPPPPPPP/RKBQRBNN w KQkq - 0 1,Stockfish 17.1,e2e4,36,95,897,8,11,23,100339,0.019,10
903,rkbqrnnb/pppppppp/8/8/8/8/PPPPPPPP/RKBQRNNB w KQkq - 0 1,Stockfish 17.1,d2d4,46,128,866,6,11,16,100091,0.017,11
904,rbkqbrnn/pppppppp/8/8/8/8/PPPPPPPP/RBKQBRNN w KQkq - 0 1,Stockfish 17.1,a2a4,50,146,849,5,11,21,100032,0.019,10
905,rkqbbrnn/pppppppp/8/8/8/8/PPPPPPPP/RKQBBRNN w KQkq - 0 1,Stockfish 17.1,e2e4,42,113,881,6,12,22,100628,0.015,11
906,rkqrbbnn/pppppppp/8/8/8/8/PPPPPPPP/RKQRBBNN w KQkq - 0 1,Stockfish 17.1,e2e4,32,81,910,9,11,14,100110,0.018,9
907,rkqrbnnb/pppppppp/8/8/8/8/PPPPPPPP/RKQRBNNB w KQkq - 0 1,Stockfish 17.1,a2a4,23,61,927,12,11,22,100527,0.017,11
908,rbkqrnbn/pppppppp/8/8/8/8/PPPPPPPP/RBKQRNBN w KQkq - 0 1,Stockfish 17.1,e2e4,27,70,919,11,12,17,100619,0.018,9
909,rkqbrnbn/pppppppp/8/8/8/8/PPPPPPPP/RKQBRNBN w KQkq - 0 1,Stockfish 17.1,f2f4,57,177,819,4,11,18,100170,0.018,9
910,rkqrnbbn/pppppppp/8/8/8/8/PPPPPPPP/RKQRNBBN w KQkq - 0 1,Stockfish 17.1,d2d4,38,100,893,7,10,17,100148,0.018,9
911,rkqrnnbb/pppppppp/8/8/8/8/PPPPPPPP/RKQRNNBB w KQkq - 0 1,Stockfish 17.1,f1e3,26,67,922,11,11,19,101114,0.017,11
912,bbrkrqnn/pppppppp/8/8/8/8/PPPPPPPP/BBRKRQNN w KQkq - 0 1,Stockfish 17.1,f2f4,14,45,938,17,11,21,101339,0.018,8
913,brkbrqnn/pppppppp/8/8/8/8/PPPPPPPP/BRKBRQNN w KQkq - 0 1,Stockfish 17.1,f2f4,27,71,918,11,12,21,100443,0.018,12
914,brkrqbnn/pppppppp/8/8/8/8/PPPPPPPP/BRKRQBNN w KQkq - 0 1,Stockfish 17.1,b2b4,34,88,904,8,10,18,101164,0.018,11
915,brkrqnnb/pppppppp/8/8/8/8/PPPPPPPP/BRKRQNNB w KQkq - 0 1,Stockfish 17.1,e2e4,23,61,927,12,11,18,100558,0.018,10
916,rbbkrqnn/pppppppp/8/8/8/8/PPPPPPPP/RBBKRQNN w KQkq - 0 1,Stockfish 17.1,d2d4,43,118,876,6,12,20,100008,0.019,9
917,rkbbrqnn/pppppppp/8/8/8/8/PPPPPPPP/RKBBRQNN w KQkq - 0 1,Stockfish 17.1,e2e4,77,303,695,2,13,22,100889,0.019,10
918,rkbrqbnn/pppppppp/8/8/8/8/PPPPPPPP/RKBRQBNN w KQkq - 0 1,Stockfish 17.1,e2e4,31,78,912,10,11,22,101040,0.018,6
919,rkbrqnnb/pppppppp/8/8/8/8/PPPPPPPP/RKBRQNNB w KQkq - 0 1,Stockfish 17.1,a2a4,15,47,937,16,12,20,100225,0.015,8
920,rbkrbqnn/pppppppp/8/8/8/8/PPPPPPPP/RBKRBQNN w KQkq - 0 1,Stockfish 17.1,a2a4,46,129,866,5,12,24,100335,0.017,7
921,rkrbbqnn/pppppppp/8/8/8/8/PPPPPPPP/RKRBBQNN w KQkq - 0 1,Stockfish 17.1,a2a4,30,76,914,10,12,23,101106,0.019,8
922,rkrqbbnn/pppppppp/8/8/8/8/PPPPPPPP/RKRQBBNN w KQkq - 0 1,Stockfish 17.1,e2e4,29,74,916,10,12,15,100520,0.016,7
923,rkrqbnnb/pppppppp/8/8/8/8/PPPPPPPP/RKRQBNNB w KQkq - 0 1,Stockfish 17.1,a2a4,27,69,920,11,11,18,100051,0.018,5
924,rbkrqnbn/pppppppp/8/8/8/8/PPPPPPPP/RBKRQNBN w KQkq - 0 1,Stockfish 17.1,d2d4,51,149,846,5,12,20,100081,0.017,8
925,rkrbqnbn/pppppppp/8/8/8/8/PPPPPPPP/RKRBQNBN w KQkq - 0 1,Stockfish 17.1,f2f4,48,135,860,5,12,18,100713,0.019,7
926,rkrqnbbn/pppppppp/8/8/8/8/PPPPPPPP/RKRQNBBN w KQkq - 0 1,Stockfish 17.1,d2d4,50,143,852,5,11,17,100862,0.019,8
927,rkrqnnbb/pppppppp/8/8/8/8/PPPPPPPP/RKRQNNBB w KQkq - 0 1,Stockfish 17.1,f2f4,35,90,902,8,13,19,100502,0.018,9
928,bbrkrnqn/pppppppp/8/8/8/8/PPPPPPPP/BBRKRNQN w KQkq - 0 1,Stockfish 17.1,c2c4,68,240,757,3,11,17,101206,0.018,9
929,brkbrnqn/pppppppp/8/8/8/8/PPPPPPPP/BRKBRNQN w KQkq - 0 1,Stockfish 17.1,f2f4,29,74,916,10,10,21,100598,0.018,12
930,brkrnbqn/pppppppp/8/8/8/8/PPPPPPPP/BRKRNBQN w KQkq - 0 1,Stockfish 17.1,f2f3,22,59,928,13,11,22,100174,0.017,14
931,brkrnqnb/pppppppp/8/8/8/8/PPPPPPPP/BRKRNQNB w KQkq - 0 1,Stockfish 17.1,g2g4,27,69,920,11,11,14,100168,0.019,11
932,rbbkrnqn/pppppppp/8/8/8/8/PPPPPPPP/RBBKRNQN w KQkq - 0 1,Stockfish 17.1,c2c3,29,74,916,10,12,20,101049,0.017,12
933,rkbbrnqn/pppppppp/8/8/8/8/PPPPPPPP/RKBBRNQN w KQkq - 0 1,Stockfish 17.1,f2f4,37,95,897,8,11,21,100906,0.017,14
934,rkbrnbqn/pppppppp/8/8/8/8/PPPPPPPP/RKBRNBQN w KQkq - 0 1,Stockfish 17.1,e2e4,45,123,871,6,13,20,100475,0.016,10
935,rkbrnqnb/pppppppp/8/8/8/8/PPPPPPPP/RKBRNQNB w KQkq - 0 1,Stockfish 17.1,e2e4,51,150,845,5,11,16,100427,0.015,11
936,rbkrbnqn/pppppppp/8/8/8/8/PPPPPPPP/RBKRBNQN w KQkq - 0 1,Stockfish 17.1,e2e4,35,91,901,8,12,22,100645,0.016,11
937,rkrbbnqn/pppppppp/8/8/8/8/PPPPPPPP/RKRBBNQN w KQkq - 0 1,Stockfish 17.1,e2e4,35,89,903,8,11,18,100608,0.018,12
938,rkrnbbqn/pppppppp/8/8/8/8/PPPPPPPP/RKRNBBQN w KQkq - 0 1,Stockfish 17.1,f2f4,41,111,882,7,12,16,100595,0.017,10
939,rkrnbqnb/pppppppp/8/8/8/8/PPPPPPPP/RKRNBQNB w KQkq - 0 1,Stockfish 17.1,a2a4,25,65,923,12,12,17,101169,0.017,11
940,rbkrnqbn/pppppppp/8/8/8/8/PPPPPPPP/RBKRNQBN w KQkq - 0 1,Stockfish 17.1,e2e4,36,94,898,8,12,25,100339,0.018,10
941,rkrbnqbn/pppppppp/8/8/8/8/PPPPPPPP/RKRBNQBN w KQkq - 0 1,Stockfish 17.1,e2e4,46,129,866,5,11,16,100150,0.018,10
942,rkrnqbbn/pppppppp/8/8/8/8/PPPPPPPP/RKRNQBBN w KQkq - 0 1,Stockfish 17.1,f2f4,23,61,927,12,12,18,101261,0.017,10
943,rkrnqnbb/pppppppp/8/8/8/8/PPPPPPPP/RKRNQNBB w KQkq - 0 1,Stockfish 17.1,g2g4,27,71,918,11,11,19,100086,0.018,11
944,bbrkrnnq/pppppppp/8/8/8/8/PPPPPPPP/BBRKRNNQ w KQkq - 0 1,Stockfish 17.1,g2g3,38,100,893,7,11,15,100221,0.017,8
945,brkbrnnq/pppppppp/8/8/8/8/PPPPPPPP/BRKBRNNQ w KQkq - 0 1,Stockfish 17.1,f2f4,36,93,899,8,11,17,100591,0.02,12
946,brkrnbnq/pppppppp/8/8/8/8/PPPPPPPP/BRKRNBNQ w KQkq - 0 1,Stockfish 17.1,b2b4,49,142,853,5,10,19,100439,0.018,11
947,brkrnnqb/pppppppp/8/8/8/8/PPPPPPPP/BRKRNNQB w KQkq - 0 1,Stockfish 17.1,g2g3,16,48,936,16,9,16,100710,0.017,10
948,rbbkrnnq/pppppppp/8/8/8/8/PPPPPPPP/RBBKRNNQ w KQkq - 0 1,Stockfish 17.1,d2d4,40,107,886,7,11,13,100434,0.019,10
949,rkbbrnnq/pppppppp/8/8/8/8/PPPPPPPP/RKBBRNNQ w KQkq - 0 1,Stockfish 17.1,f2f4,33,84,907,9,13,26,100389,0.017,10
950,rkbrnbnq/pppppppp/8/8/8/8/PPPPPPPP/RKBRNBNQ w KQkq - 0 1,Stockfish 17.1,e2e4,32,83,908,9,10,17,100483,0.019,7
951,rkbrnnqb/pppppppp/8/8/8/8/PPPPPPPP/RKBRNNQB w KQkq - 0 1,Stockfish 17.1,f2f4,32,82,909,9,11,18,100054,0.017,8
952,rbkrbnnq/pppppppp/8/8/8/8/PPPPPPPP/RBKRBNNQ w KQkq - 0 1,Stockfish 17.1,a2a4,39,104,889,7,12,16,100489,0.018,7
953,rkrbbnnq/pppppppp/8/8/8/8/PPPPPPPP/RKRBBNNQ w KQkq - 0 1,Stockfish 17.1,f2f4,51,149,846,5,11,17,100055,0.019,8
954,rkrnbbnq/pppppppp/8/8/8/8/PPPPPPPP/RKRNBBNQ w KQkq - 0 1,Stockfish 17.1,e2e4,25,65,923,12,12,15,100199,0.018,7
955,rkrnbnqb/pppppppp/8/8/8/8/PPPPPPPP/RKRNBNQB w KQkq - 0 1,Stockfish 17.1,f2f4,30,77,913,10,11,23,100653,0.016,5
956,rbkrnnbq/pppppppp/8/8/8/8/PPPPPPPP/RBKRNNBQ w KQkq - 0 1,Stockfish 17.1,e2e4,47,132,863,5,10,14,100622,0.017,8
957,rkrbnnbq/pppppppp/8/8/8/8/PPPPPPPP/RKRBNNBQ w KQkq - 0 1,Stockfish 17.1,a2a4,41,109,884,7,12,23,100910,0.018,7
958,rkrnnbbq/pppppppp/8/8/8/8/PPPPPPPP/RKRNNBBQ w KQkq - 0 1,Stockfish 17.1,a2a4,38,99,894,7,11,17,100149,0.019,8
959,rkrnnqbb/pppppppp/8/8/8/8/PPPPPPPP/RKRNNQBB w KQkq - 0 1,Stockfish 17.1,e1d3,30,76,914,10,13,21,101269,0.018,9
