id,fen,engine,move,score,wins,draws,losses,depth,seldepth,nodes,time,hashfull
776,qbrkbnrn/pppppppp/8/8/8/8/PPPPPPPP/QBRKBNRN w KQkq - 0 1,Stockfish 17.1,b2b4,39,102,891,7,11,19,100364,0.02,10
777,qrkbbnrn/pppppppp/8/8/8/8/PPPPPPPP/QRKBBNRN w KQkq - 0 1,Stockfish 17.1,b2b4,42,114,880,6,11,15,100836,0.015,11
778,qrknbbrn/pppppppp/8/8/8/8/PPPPPPPP/QRKNBBRN w KQkq - 0 1,Stockfish 17.1,b2b4,62,206,791,3,11,17,100225,0.017,8
779,qrknbrnb/pppppppp/8/8/8/8/PPPPPPPP/QRKNBRNB w KQkq - 0 1,Stockfish 17.1,b2b4,46,129,866,5,11,19,100745,0.019,10
780,qbrknrbn/pppppppp/8/8/8/8/PPPPPPPP/QBRKNRBN w KQkq - 0 1,Stockfish 17.1,c2c4,30,76,914,10,11,19,100536,0.017,8
781,qrkbnrbn/pppppppp/8/8/8/8/PPPPPPPP/QRKBNRBN w KQkq - 0 1,Stockfish 17.1,e2e4,45,125,869,6,12,21,100299,0.017,8
782,qrknrbbn/pppppppp/8/8/8/8/PPPPPPPP/QRKNRBBN w KQkq - 0 1,Stockfish 17.1,f2f4,24,62,926,12,14,23,100575,0.015,9
783,qrknrnbb/pppppppp/8/8/8/8/PPPPPPPP/QRKNRNBB w KQkq - 0 1,Stockfish 17.1,b2b4,79,320,678,2,11,19,101114,0.019,7
784,bbrqknrn/pppppppp/8/8/8/8/PPPPPPPP/BBRQKNRN w KQkq - 0 1,Stockfish 17.1,c2c4,64,217,780,3,12,19,100874,0.019,7
785,brqbknrn/pppppppp/8/8/8/8/PPPPPPPP/BRQBKNRN w KQkq - 0 1,Stockfish 17.1,f1g3,47,133,862,5,11,19,101012,0.02,10
786,brqknbrn/pppppppp/8/8/8/8/PPPPPPPP/BRQKNBRN w KQkq - 0 1,Stockfish 17.1,b2b4,29,74,916,10,11,22,100981,0.019,10
787,brqknrnb/pppppppp/8/8/8/8/PPPPPPPP/BRQKNRNB w KQkq - 0 1,Stockfish 17.1,b2b4,34,86,905,9,12,20,100122,0.02,7
788,rbbqknrn/pppppppp/8/8/8/8/PPPPPPPP/RBBQKNRN w KQkq - 0 1,Stockfish 17.1,d2d4,38,100,893,7,12,15,100351,0.018,7
789,rqbbknrn/pppppppp/8/8/8/8/PPPPPPPP/RQBBKNRN w KQkq - 0 1,Stockfish 17.1,c2c3,41,111,882,7,11,15,101073,0.019,8
790,rqbknbrn/pppppppp/8/8/8/8/PPPPPPPP/RQBKNBRN w KQkq - 0 1,Stockfish 17.1,g2g4,53,160,836,4,10,20,101091,0.019,6
791,rqbknrnb/pppppppp/8/8/8/8/PPPPPPPP/RQBKNRNB w KQkq - 0 1,Stockfish 17.1,c2c4,54,161,835,4,11,16,100966,0.02,7
792,rbqkbnrn/pppppppp/8/8/8/8/PPPPPPPP/RBQKBNRN w KQkq - 0 1,Stockfish 17.1,c2c4,47,131,864,5,12,17,100631,0.021,6
793,rqkbbnrn/pppppppp/8/8/8/8/PPPPPPPP/RQKBBNRN w KQkq - 0 1,Stockfish 17.1,d2d4,43,115,879,6,10,17,100307,0.016,6
794,rqknbbrn/pppppppp/8/8/8/8/PPPPPPPP/RQKNBBRN w KQkq - 0 1,Stockfish 17.1,c2c4,89,399,600,1,10,21,100670,0.019,6
795,rqknbrnb/pppppppp/8/8/8/8/PPPPPPPP/RQKNBRNB w KQkq - 0 1,Stockfish 17.1,a2a4,20,55,931,14,13,18,100623,0.017,5
796,rbqknrbn/pppppppp/8/8/8/8/PPPPPPPP/RBQKNRBN w KQkq - 0 1,Stockfish 17.1,f2f4,17,50,935,15,10,19,100349,0.018,8
797,rqkbnrbn/pppppppp/8/8/8/8/PPPPPPPP/RQKBNRBN w KQkq - 0 1,Stockfish 17.1,f2f4,26,66,923,11,10,14,100016,0.017,7
798,rqknrbbn/pppppppp/8/8/8/8/PPPPPPPP/RQKNRBBN w KQkq - 0 1,Stockfish 17.1,e2e4,24,62,926,12,12,21,100624,0.014,7
799,rqknrnbb/pppppppp/8/8/8/8/PPPPPPPP/RQKNRNBB w KQkq - 0 1,Stockfish 17.1,e2e4,22,58,929,13,10,17,101717,0.017,8
800,bbrkqnrn/pppppppp/8/8/8/8/PPPPPPPP/BBRKQNRN w KQkq - 0 1,Stockfish 17.1,c2c4,57,176,820,4,12,22,100688,0.018,9
801,brkbqnrn/pppppppp/8/8/8/8/PPPPPPPP/BRKBQNRN w KQkq - 0 1,Stockfish 17.1,f2f4,35,91,901,8,11,15,100225,0.019,10
802,brkqnbrn/pppppppp/8/8/8/8/PPPPPPPP/BRKQNBRN w KQkq - 0 1,Stockfish 17.1,b2b4,32,82,909,9,12,20,100539,0.018,12
803,brkqnrnb/pppppppp/8/8/8/8/PPPPPPPP/BRKQNRNB w KQkq - 0 1,Stockfish 17.1,b2b4,43,118,876,6,13,18,100820,0.019,9
804,rbbkqnrn/pppppppp/8/8/8/8/PPPPPPPP/RBBKQNRN w KQkq - 0 1,Stockfish 17.1,d2d4,43,117,877,6,12,15,101044,0.019,11
805,rkbbqnrn/pppppppp/8/8/8/8/PPPPPPPP/RKBBQNRN w KQkq - 0 1,Stockfish 17.1,f2f4,33,85,906,9,11,16,100974,0.018,13
806,rkbqnbrn/pppppppp/8/8/8/8/PPPPPPPP/RKBQNBRN w KQkq - 0 1,Stockfish 17.1,e2e4,43,115,879,6,12,19,101381,0.02,8
807,rkbqnrnb/pppppppp/8/8/8/8/PPPPPPPP/RKBQNRNB w KQkq - 0 1,Stockfish 17.1,e2e4,37,96,896,8,12,15,100284,0.016,9
808,rbkqbnrn/pppppppp/8/8/8/8/PPPPPPPP/RBKQBNRN w KQkq - 0 1,Stockfish 17.1,d2d4,42,114,880,6,12,19,100208,0.017,10
809,rkqbbnrn/pppppppp/8/8/8/8/PPPPPPPP/RKQBBNRN w KQkq - 0 1,Stockfish 17.1,f2f4,29,73,917,10,10,22,100496,0.018,11
810,rkqnbbrn/pppppppp/8/8/8/8/PPPPPPPP/RKQNBBRN w KQkq - 0 1,Stockfish 17.1,e2e4,16,48,936,16,11,16,100078,0.018,8
811,rkqnbrnb/pppppppp/8/8/8/8/PPPPPPPP/RKQNBRNB w KQkq - 0 1,Stockfish 17.1,a2a4,11,41,940,19,13,25,100204,0.016,10
812,rbkqnrbn/pppppppp/8/8/8/8/PPPPPPPP/RBKQNRBN w KQkq - 0 1,Stockfish 17.1,a2a4,21,57,930,13,12,20,100065,0.017,8
813,rkqbnrbn/pppppppp/8/8/8/8/PPPPPPPP/RKQBNRBN w KQkq - 0 1,Stockfish 17.1,e2e4,44,119,875,6,12,21,100253,0.017,8
814,rkqnrbbn/pppppppp/8/8/8/8/PPPPPPPP/RKQNRBBN w KQkq - 0 1,Stockfish 17.1,d2d4,43,118,876,6,11,17,100558,0.017,9
815,rkqnrnbb/pppppppp/8/8/8/8/PPPPPPPP/RKQNRNBB w KQkq - 0 1,Stockfish 17.1,e2e4,47,130,865,5,11,18,100014,0.016,9
816,bbrknqrn/pppppppp/8/8/8/8/PPPPPPPP/BBRKNQRN w KQkq - 0 1,Stockfish 17.1,f2f4,30,78,912,10,9,22,100817,0.017,7
817,brkbnqrn/pppppppp/8/8/8/8/PPPPPPPP/BRKBNQRN w KQkq - 0 1,Stockfish 17.1,e2e3,22,59,928,13,10,20,100105,0.019,10
818,brknqbrn/pppppppp/8/8/8/8/PPPPPPPP/BRKNQBRN w KQkq - 0 1,Stockfish 17.1,e2e4,24,64,924,12,11,18,101368,0.017,10
819,brknqrnb/pppppppp/8/8/8/8/PPPPPPPP/BRKNQRNB w KQkq - 0 1,Stockfish 17.1,b2b4,24,62,926,12,9,19,100578,0.018,8
820,rbbknqrn/pppppppp/8/8/8/8/PPPPPPPP/RBBKNQRN w KQkq - 0 1,Stockfish 17.1,f2f4,48,135,860,5,12,14,100762,0.018,8
821,rkbbnqrn/pppppppp/8/8/8/8/PPPPPPPP/RKBBNQRN w KQkq - 0 1,Stockfish 17.1,e2e4,48,135,860,5,14,19,100349,0.019,9
822,rkbnqbrn/pppppppp/8/8/8/8/PPPPPPPP/RKBNQBRN w KQkq - 0 1,Stockfish 17.1,d2d4,46,128,866,6,11,18,100450,0.018,6
823,rkbnqrnb/pppppppp/8/8/8/8/PPPPPPPP/RKBNQRNB w KQkq - 0 1,Stockfish 17.1,e2e4,16,49,935,16,33,44,100010171,23.657,508
824,rbknbqrn/pppppppp/8/8/8/8/PPPPPPPP/RBKNBQRN w KQkq - 0 1,Stockfish 17.1,a2a4,33,85,906,9,9,17,100153,0.018,7
